Continuum,File,MeanF0,Duration   ,Gender,Section
4,male4,,0.56867455,Male,4
4,male4,,0.56867455,Male,5
4,male4,,0.56867455,Male,6
4,male4,,0.56867455,Male,7
4,male4,133.8320783,0.56867455,Male,8
4,male4,124.2591099,0.56867455,Male,9
4,male4,114.3579895,0.56867455,Male,10
4,male4,113.3787587,0.56867455,Male,11
4,male4,116.9337674,0.56867455,Male,12
4,male4,121.1767669,0.56867455,Male,13
4,male4,120.9593238,0.56867455,Male,14
4,male4,115.229886,0.56867455,Male,15
4,male4,110.5960316,0.56867455,Male,16
4,male4,110.7459434,0.56867455,Male,17
4,male4,111.4719649,0.56867455,Male,18
4,male4,110.2563904,0.56867455,Male,19
4,male4,109.0866889,0.56867455,Male,20
5,male5,112.6363195,0.573674595,Male,1
5,male5,113.1803988,0.573674595,Male,2
5,male5,117.2570747,0.573674595,Male,3
5,male5,,0.573674595,Male,4
5,male5,,0.573674595,Male,5
5,male5,,0.573674595,Male,6
5,male5,,0.573674595,Male,7
5,male5,131.9981076,0.573674595,Male,8
5,male5,125.3080853,0.573674595,Male,9
5,male5,114.3837239,0.573674595,Male,10
5,male5,111.300584,0.573674595,Male,11
5,male5,114.8066332,0.573674595,Male,12
5,male5,,0.573674595,Male,13
5,male5,125.6950817,0.573674595,Male,14
5,male5,122.2799226,0.573674595,Male,15
5,male5,117.5906523,0.573674595,Male,16
5,male5,118.6541956,0.573674595,Male,17
5,male5,120.2057003,0.573674595,Male,18
5,male5,119.2188467,0.573674595,Male,19
5,male5,117.4259031,0.573674595,Male,20
6,male6,112.0405573,0.574575365,Male,1
6,male6,112.6065448,0.574575365,Male,2
6,male6,116.7160357,0.574575365,Male,3
6,male6,,0.574575365,Male,4
6,male6,,0.574575365,Male,5
6,male6,,0.574575365,Male,6
6,male6,,0.574575365,Male,7
6,male6,129.7620661,0.574575365,Male,8
6,male6,123.1588569,0.574575365,Male,9
6,male6,111.7910113,0.574575365,Male,10
6,male6,109.8325656,0.574575365,Male,11
6,male6,113.1594215,0.574575365,Male,12
6,male6,,0.574575365,Male,13
6,male6,130.1644361,0.574575365,Male,14
6,male6,127.8454778,0.574575365,Male,15
6,male6,124.2320832,0.574575365,Male,16
6,male6,126.796077,0.574575365,Male,17
6,male6,129.0656087,0.574575365,Male,18
6,male6,127.7771206,0.574575365,Male,19
6,male6,126.0657666,0.574575365,Male,20
7,male7,111.3786564,0.567334221,Male,1
7,male7,112.4299667,0.567334221,Male,2
7,male7,113.8252519,0.567334221,Male,3
7,male7,,0.567334221,Male,4
7,male7,,0.567334221,Male,5
7,male7,,0.567334221,Male,6
7,male7,,0.567334221,Male,7
7,male7,127.2512361,0.567334221,Male,8
7,male7,118.7227797,0.567334221,Male,9
7,male7,107.7626985,0.567334221,Male,10
7,male7,108.464232,0.567334221,Male,11
7,male7,114.8201991,0.567334221,Male,12
7,male7,,0.567334221,Male,13
7,male7,134.9099327,0.567334221,Male,14
7,male7,132.8512885,0.567334221,Male,15
7,male7,131.0500158,0.567334221,Male,16
7,male7,135.0321632,0.567334221,Male,17
7,male7,137.8246049,0.567334221,Male,18
7,male7,136.4974877,0.567334221,Male,19
7,male7,134.4420933,0.567334221,Male,20
8,male8,110.9502114,0.56417617,Male,1
8,male8,111.1894438,0.56417617,Male,2
8,male8,115.4008092,0.56417617,Male,3
8,male8,,0.56417617,Male,4
8,male8,,0.56417617,Male,5
8,male8,,0.56417617,Male,6
8,male8,,0.56417617,Male,7
8,male8,124.9542288,0.56417617,Male,8
8,male8,118.2855865,0.56417617,Male,9
8,male8,107.1220198,0.56417617,Male,10
8,male8,106.1231613,0.56417617,Male,11
8,male8,114.9985187,0.56417617,Male,12
8,male8,,0.56417617,Male,13
8,male8,139.5435527,0.56417617,Male,14
8,male8,138.5757174,0.56417617,Male,15
8,male8,137.5600337,0.56417617,Male,16
8,male8,142.637805,0.56417617,Male,17
8,male8,146.5349332,0.56417617,Male,18
8,male8,145.5312385,0.56417617,Male,19
8,male8,143.0978346,0.56417617,Male,20
9,male9,110.4669556,0.565070416,Male,1
9,male9,110.3674934,0.565070416,Male,2
9,male9,114.6439147,0.565070416,Male,3
9,male9,,0.565070416,Male,4
9,male9,,0.565070416,Male,5
9,male9,,0.565070416,Male,6
9,male9,,0.565070416,Male,7
9,male9,122.7160913,0.565070416,Male,8
9,male9,116.8662156,0.565070416,Male,9
9,male9,105.0226321,0.565070416,Male,10
9,male9,104.490155,0.565070416,Male,11
9,male9,116.6641827,0.565070416,Male,12
9,male9,,0.565070416,Male,13
9,male9,144.1573447,0.565070416,Male,14
9,male9,143.9562273,0.565070416,Male,15
9,male9,144.3278052,0.565070416,Male,16
9,male9,151.1342814,0.565070416,Male,17
9,male9,155.3987716,0.565070416,Male,18
9,male9,153.9132906,0.565070416,Male,19
9,male9,152.367261,0.565070416,Male,20
